days,x,y,z,popval,m1,m2,m3,m4
1,0,0,0,1,0.854688152,0.854688152,0.854688152,0.854688152
1,0,0,1,1,0.825428218,0.825428218,0.825428218,0.825428218
1,0,0,2,1,0.813606856,0.813606856,0.813606856,0.813606856
1,0,0,3,1,0.879483142,0.879483142,0.879483142,0.879483142
1,0,1,0,1,0.827849822,0.827849822,0.827849822,0.827849822
1,0,1,1,1,0.884071726,0.884071726,0.884071726,0.884071726
1,0,1,2,1,0.814553898,0.814553898,0.814553898,0.814553898
1,0,1,3,1,0.881762771,0.881762771,0.881762771,0.881762771
1,0,2,0,1,0.80975404,0.80975404,0.80975404,0.80975404
1,0,2,1,1,0.825750825,0.825750825,0.825750825,0.825750825
1,0,2,2,1,0.826380292,0.826380292,0.826380292,0.826380292
1,0,2,3,1,0.851077156,0.851077156,0.851077156,0.851077156
1,0,3,0,1,0.863235925,0.863235925,0.863235925,0.863235925
1,0,3,1,1,0.814929401,0.814929401,0.814929401,0.814929401
1,0,3,2,1,0.818184703,0.818184703,0.818184703,0.818184703
1,0,3,3,1,0.850850866,0.850850866,0.850850866,0.850850866
1,0,4,0,1,0.891337586,0.891337586,0.891337586,0.891337586
1,0,4,1,1,0.813862444,0.813862444,0.813862444,0.813862444
1,0,4,2,1,0.891064759,0.891064759,0.891064759,0.891064759
1,0,4,3,1,0.830634947,0.830634947,0.830634947,0.830634947
1,0,5,0,1,0.812698682,0.812698682,0.812698682,0.812698682
1,0,5,1,1,0.854721553,0.854721553,0.854721553,0.854721553
1,0,5,2,1,0.843141383,0.843141383,0.843141383,0.843141383
1,0,5,3,1,0.844678375,0.844678375,0.844678375,0.844678375
1,0,6,0,1,0.890579194,0.890579194,0.890579194,0.890579194
1,0,6,1,1,0.895929143,0.895929143,0.895929143,0.895929143
1,0,6,2,1,0.880006848,0.880006848,0.880006848,0.880006848
1,0,6,3,1,0.843585859,0.843585859,0.843585859,0.843585859
1,0,7,0,1,0.881472369,0.881472369,0.881472369,0.881472369
1,0,7,1,1,0.889090325,0.889090325,0.889090325,0.889090325
1,0,7,2,1,0.82598704,0.82598704,0.82598704,0.82598704
1,0,7,3,1,0.848679163,0.848679163,0.848679163,0.848679163
1,1,0,0,1,0.814188634,0.814188634,0.814188634,0.814188634
1,1,0,1,1,0.847328885,0.847328885,0.847328885,0.847328885
1,1,0,2,1,0.851324954,0.851324954,0.851324954,0.851324954
1,1,0,3,1,0.855015634,0.855015634,0.855015634,0.855015634
1,1,1,0,1,0.880028047,0.880028047,0.880028047,0.880028047
1,1,1,1,1,0.861604468,0.861604468,0.861604468,0.861604468
1,1,1,2,1,0.835095238,0.835095238,0.835095238,0.835095238
1,1,1,3,1,0.887594281,0.887594281,0.887594281,0.887594281
1,1,2,0,1,0.848537565,0.848537565,0.848537565,0.848537565
1,1,2,1,1,0.825108386,0.825108386,0.825108386,0.825108386
1,1,2,2,1,0.862205513,0.862205513,0.862205513,0.862205513
1,1,2,3,1,0.893900156,0.893900156,0.893900156,0.893900156
1,1,3,0,1,0.895716695,0.895716695,0.895716695,0.895716695
1,1,3,1,1,0.819659525,0.819659525,0.819659525,0.819659525
1,1,3,2,1,0.885303112,0.885303112,0.885303112,0.885303112
1,1,3,3,1,0.83507271,0.83507271,0.83507271,0.83507271
1,1,4,0,1,0.897059278,0.897059278,0.897059278,0.897059278
1,1,4,1,1,0.834998377,0.834998377,0.834998377,0.834998377
1,1,4,2,1,0.81449548,0.81449548,0.81449548,0.81449548
1,1,4,3,1,0.853282559,0.853282559,0.853282559,0.853282559
1,1,5,0,1,0.815761308,0.815761308,0.815761308,0.815761308
1,1,5,1,1,0.892926362,0.892926362,0.892926362,0.892926362
1,1,5,2,1,0.85498602,0.85498602,0.85498602,0.85498602
1,1,5,3,1,0.881158046,0.881158046,0.881158046,0.881158046
1,1,6,0,1,0.896488854,0.896488854,0.896488854,0.896488854
1,1,6,1,1,0.824352497,0.824352497,0.824352497,0.824352497
1,1,6,2,1,0.857970459,0.857970459,0.857970459,0.857970459
1,1,6,3,1,0.837860938,0.837860938,0.837860938,0.837860938
1,1,7,0,1,0.895750684,0.895750684,0.895750684,0.895750684
1,1,7,1,1,0.881428483,0.881428483,0.881428483,0.881428483
1,1,7,2,1,0.886929221,0.886929221,0.886929221,0.886929221
1,1,7,3,1,0.864431813,0.864431813,0.864431813,0.864431813
1,2,0,0,1,0.893399325,0.893399325,0.893399325,0.893399325
1,2,0,1,1,0.875372909,0.875372909,0.875372909,0.875372909
1,2,0,2,1,0.804965443,0.804965443,0.804965443,0.804965443
